id;date_debut;date_fin;frequence;description;utilisateur_id
1;2023-12-22;2023-12-21;93321;needs-based Superviseur;1
2;2023-12-22;2023-12-22;60841;coherent;2
3;2023-12-22;2023-12-22;48216;quantifying;3
4;2023-12-22;2023-12-22;16206;niches Fish b;4
5;2023-12-22;2023-12-22;75055;Fish Mille;5
6;2023-12-21;2023-12-22;48561;e-services Maroc Programmable;6
7;2023-12-21;2023-12-22;74408;panel navigate system;7
8;2023-12-22;2023-12-21;32563;back-end;8
9;2023-12-22;2023-12-22;61369;tan Architecte;9
10;2023-12-22;2023-12-21;42249;purple;10
